Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
27,87,Aliste Technologies,Technology,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
27,88,Insurance Samadhan,Finance,1000000,0,4%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
28,89,Humpy A2,Food and Beverages,1000000,0,15%,N,N,N,N,Y,Y,Y,Y,1,,,,,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,
28,90,Kunafa World,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
28,91,Gold Safe Solutions Ind.,Technology,5000000,0,30%,N,N,N,N,Y,Y,Y,Y,1,,,,,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,
29,92,Wakao Foods,Food and Beverages,7500000,0,21%,N,N,Y,N,N,Y,Y,Y,1,,,Namita Thapar,,,Vineeta Singh,Ghazal Alagh,Amit Jain,
29,93,PDD Falcon,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
29,94,PlayBox TV,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
30,95,Sippline Drinking Shields,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
30,96,Kabaddi Adda,Sports,8000000,0,6%,N,N,Y,N,N,Y,N,N,1,,,Namita Thapar,,,Vineeta Singh,,,
30,97,Shades of Spring,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
30,98,Scholify,Education,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
31,99,Scrapshala,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
31,100,Sabjikothi,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
31,101,AyuRythm,Health and Fitness,7500000,0,3%,N,N,N,Y,N,N,N,N,1,,,,Aman Gupta,,,,,
31,102,Astrix,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
